iter	Passed	Remaining
0	60	60570
1	61	30457
2	61	20406
3	61	15404
4	62	12377
5	62	10365
6	62	8934
7	63	7850
8	63	7003
9	64	6343
10	64	5801
11	64	5335
12	65	4949
13	65	4624
14	65	4332
15	66	4075
16	66	3852
17	67	3655
18	67	3483
19	67	3322
20	68	3175
21	68	3046
22	68	2923
23	69	2813
24	69	2710
25	69	2614
26	70	2526
27	70	2445
28	70	2367
29	71	2299
30	71	2235
31	71	2175
32	72	2116
33	72	2060
34	72	2011
35	73	1961
36	73	1913
37	73	1868
38	74	1826
39	74	1785
40	74	1746
41	75	1712
42	75	1678
43	75	1648
44	76	1618
45	76	1588
46	77	1563
47	77	1535
48	77	1509
49	78	1483
50	78	1461
51	78	1439
52	79	1417
53	79	1396
54	80	1378
55	80	1360
56	81	1342
57	81	1325
58	82	1309
59	82	1292
60	82	1276
61	83	1260
62	83	1244
63	84	1229
64	84	1215
65	85	1203
66	85	1190
67	85	1174
68	86	1162
69	86	1149
70	86	1138
71	87	1126
72	87	1114
73	88	1101
74	88	1089
75	88	1079
76	89	1068
77	89	1058
78	89	1048
79	90	1038
80	90	1029
81	91	1020
82	91	1012
83	92	1003
84	92	993
85	92	985
86	93	976
87	93	968
88	93	960
89	94	952
90	94	945
91	95	937
92	95	930
93	95	922
94	96	915
95	96	907
96	96	901
97	97	895
98	97	888
99	97	881
100	98	874
101	98	866
102	98	860
103	99	855
104	99	848
105	100	843
106	100	838
107	100	832
108	101	826
109	101	820
110	101	815
111	102	809
112	102	804
113	102	799
114	103	794
115	103	788
116	103	783
117	104	778
118	104	772
119	104	768
120	105	764
121	105	760
122	105	755
123	106	751
124	106	746
125	107	742
126	107	739
127	107	734
128	108	731
129	108	728
130	109	724
131	109	720
132	109	716
133	110	712
134	110	708
135	111	705
136	111	702
137	111	698
138	112	694
139	112	690
140	112	687
141	113	685
142	113	682
143	114	679
144	114	676
145	115	673
146	115	670
147	115	666
148	116	663
149	116	660
150	117	658
151	117	655
152	118	653
153	118	649
154	118	647
155	118	643
156	119	640
157	119	637
158	120	634
159	120	631
160	120	628
161	121	626
162	121	624
163	121	621
164	122	618
165	122	616
166	123	613
167	123	610
168	123	608
169	124	605
170	124	602
171	124	600
172	125	598
173	125	595
174	125	593
175	126	591
176	126	589
177	127	587
178	127	585
179	128	583
180	128	580
181	128	578
182	129	576
183	129	574
184	130	572
185	130	570
186	130	568
187	131	566
188	131	564
189	131	562
190	132	560
191	132	558
192	133	556
193	133	554
194	133	551
195	134	550
196	134	548
197	134	546
198	135	544
199	135	542
200	135	540
201	136	538
202	136	536
203	136	534
204	137	532
205	137	530
206	137	528
207	138	526
208	138	524
209	139	522
210	139	520
211	139	519
212	140	517
213	140	515
214	140	513
215	141	512
216	141	510
217	141	509
218	142	507
219	142	505
220	143	504
221	143	502
222	143	500
223	144	499
224	144	498
225	144	496
226	145	494
227	145	492
228	146	491
229	146	489
230	146	487
231	146	486
232	147	484
233	147	483
234	147	481
235	148	479
236	148	478
237	148	477
238	149	475
239	149	474
240	150	472
241	150	471
242	151	470
243	151	469
244	151	468
245	152	466
246	152	465
247	153	464
248	153	462
249	153	461
250	154	460
251	154	458
252	154	457
253	155	456
254	155	454
255	155	453
256	156	451
257	156	450
258	156	449
259	157	447
260	157	446
261	157	445
262	158	443
263	158	442
264	159	441
265	159	440
266	159	438
267	160	437
268	160	436
269	161	435
270	161	434
271	161	432
272	162	431
273	162	430
274	162	429
275	163	428
276	163	426
277	163	425
278	164	424
279	164	423
280	165	422
281	165	421
282	165	420
283	166	419
284	166	417
285	166	416
286	167	415
287	167	413
288	167	412
289	167	410
290	168	409
291	168	408
292	168	406
293	168	405
294	169	404
295	169	402
296	169	401
297	169	400
298	170	399
299	170	397
300	170	396
301	171	395
302	171	393
303	171	392
304	171	391
305	172	390
306	172	388
307	172	387
308	172	386
309	173	385
310	173	383
311	173	382
312	173	381
313	174	380
314	174	379
315	174	377
316	174	376
317	175	375
318	175	374
319	175	373
320	175	372
321	176	370
322	176	369
323	176	368
324	177	367
325	177	366
326	177	365
327	177	364
328	178	363
329	178	362
330	178	361
331	178	360
332	179	358
333	179	357
334	179	356
335	180	355
336	180	354
337	180	353
338	180	352
339	181	351
340	181	350
341	181	349
342	181	348
343	182	347
344	182	346
345	182	345
346	182	344
347	183	343
348	183	342
349	183	341
350	184	340
351	184	339
352	184	338
353	184	337
354	185	336
355	185	335
356	185	334
357	185	333
358	186	332
359	186	331
360	186	330
361	186	329
362	187	328
363	187	327
364	187	326
365	187	325
366	188	324
367	188	323
368	188	322
369	189	321
370	189	320
371	189	320
372	189	319
373	190	318
374	190	317
375	190	316
376	190	315
377	191	314
378	191	313
379	191	312
380	191	311
381	192	310
382	192	310
383	192	309
384	192	308
385	193	307
386	193	306
387	193	305
388	193	304
389	194	303
390	194	302
391	194	301
392	194	300
393	195	300
394	195	299
395	195	298
396	195	297
397	196	296
398	196	295
399	196	294
400	196	294
401	197	293
402	197	292
403	197	291
404	198	290
405	198	290
406	198	289
407	198	288
408	198	287
409	199	286
410	199	285
411	199	284
412	199	284
413	200	283
414	200	282
415	200	281
416	200	280
417	201	280
418	201	279
419	201	278
420	201	277
421	202	276
422	202	276
423	202	275
424	202	274
425	203	273
426	203	272
427	203	272
428	203	271
429	204	270
430	204	269
431	204	268
432	204	268
433	205	267
434	205	266
435	205	265
436	205	265
437	206	264
438	206	263
439	206	262
440	206	262
441	207	261
442	207	260
443	207	259
444	207	259
445	208	258
446	208	257
447	208	257
448	208	256
449	209	255
450	209	254
451	209	254
452	209	253
453	210	252
454	210	252
455	210	251
456	211	250
457	211	250
458	211	249
459	211	248
460	212	247
461	212	247
462	212	246
463	212	245
464	213	245
465	213	244
466	213	243
467	213	243
468	214	242
469	214	241
470	214	240
471	214	240
472	215	239
473	215	238
474	215	238
475	215	237
476	215	236
477	216	236
478	216	235
479	216	234
480	216	234
481	217	233
482	217	232
483	217	232
484	218	231
485	218	231
486	218	230
487	219	229
488	219	229
489	219	228
490	220	228
491	220	227
492	220	226
493	220	226
494	221	225
495	221	224
496	221	224
497	221	223
498	222	223
499	222	222
500	222	221
501	222	221
502	223	220
503	223	219
504	223	219
505	223	218
506	224	217
507	224	217
508	224	216
509	224	215
510	224	215
511	225	214
512	225	214
513	225	213
514	225	212
515	226	212
516	226	211
517	226	210
518	226	210
519	227	209
520	227	208
521	227	208
522	227	207
523	228	207
524	228	206
525	228	205
526	228	205
527	228	204
528	229	204
529	229	203
530	229	202
531	229	202
532	230	201
533	230	201
534	230	200
535	230	199
536	231	199
537	231	198
538	231	198
539	232	197
540	232	197
541	232	196
542	232	195
543	233	195
544	233	194
545	233	194
546	233	193
547	234	193
548	234	192
549	234	191
550	234	191
551	235	190
552	235	190
553	235	189
554	235	189
555	236	188
556	236	188
557	236	187
558	236	186
559	237	186
560	237	185
561	237	185
562	238	184
563	238	184
564	238	183
565	238	183
566	239	182
567	239	182
568	239	181
569	239	180
570	240	180
571	240	179
572	240	179
573	241	178
574	241	178
575	241	177
576	241	177
577	242	176
578	242	176
579	242	175
580	242	175
581	243	174
582	243	174
583	243	173
584	243	172
585	244	172
586	244	171
587	244	171
588	244	170
589	244	170
590	245	169
591	245	169
592	245	168
593	246	168
594	246	167
595	246	167
596	246	166
597	247	166
598	247	165
599	247	165
600	247	164
601	248	164
602	248	163
603	248	163
604	248	162
605	249	162
606	249	161
607	249	161
608	249	160
609	250	160
610	250	159
611	250	159
612	251	158
613	251	157
614	251	157
615	251	156
616	252	156
617	252	156
618	252	155
619	252	154
620	253	154
621	253	153
622	253	153
623	253	152
624	254	152
625	254	152
626	254	151
627	254	150
628	255	150
629	255	149
630	255	149
631	255	148
632	256	148
633	256	148
634	256	147
635	256	147
636	257	146
637	257	146
638	257	145
639	258	145
640	258	144
641	258	144
642	258	143
643	259	143
644	259	142
645	259	142
646	259	141
647	260	141
648	260	140
649	260	140
650	260	139
651	261	139
652	261	138
653	261	138
654	261	137
655	262	137
656	262	137
657	262	136
658	262	136
659	263	135
660	263	135
661	263	134
662	263	134
663	264	133
664	264	133
665	264	132
666	265	132
667	265	131
668	265	131
669	265	130
670	265	130
671	266	129
672	266	129
673	266	129
674	266	128
675	267	128
676	267	127
677	267	127
678	267	126
679	268	126
680	268	125
681	268	125
682	269	124
683	269	124
684	269	123
685	269	123
686	270	123
687	270	122
688	270	122
689	270	121
690	271	121
691	271	120
692	271	120
693	271	119
694	272	119
695	272	118
696	272	118
697	272	118
698	273	117
699	273	117
700	273	116
701	273	116
702	274	115
703	274	115
704	274	114
705	274	114
706	275	114
707	275	113
708	275	113
709	275	112
710	276	112
711	276	111
712	276	111
713	276	110
714	277	110
715	277	110
716	277	109
717	278	109
718	278	108
719	278	108
720	278	107
721	279	107
722	279	107
723	279	106
724	279	106
725	280	105
726	280	105
727	280	104
728	280	104
729	281	104
730	281	103
731	281	103
732	282	102
733	282	102
734	282	101
735	282	101
736	283	101
