iter	Passed	Remaining
0	55	55918
1	56	28133
2	56	18866
3	57	14252
4	57	11472
5	58	9621
6	58	8295
7	58	7310
8	59	6526
9	59	5924
10	60	5410
11	60	4985
12	60	4629
13	61	4323
14	61	4057
15	62	3822
16	62	3613
17	62	3428
18	63	3269
19	63	3119
20	64	2984
21	64	2859
22	64	2748
23	65	2644
24	65	2555
25	66	2473
26	66	2394
27	66	2319
28	67	2250
29	67	2186
30	68	2128
31	68	2073
32	68	2020
33	69	1968
34	69	1919
35	70	1875
36	70	1833
37	70	1792
38	71	1752
39	71	1717
40	71	1681
41	72	1648
42	72	1616
43	72	1584
44	73	1555
45	73	1526
46	74	1500
47	74	1479
48	75	1458
49	75	1436
50	75	1414
51	76	1392
52	76	1372
53	77	1352
54	77	1332
55	77	1313
56	78	1296
57	78	1279
58	79	1261
59	79	1245
60	79	1229
61	80	1214
62	80	1199
63	80	1183
64	81	1170
65	81	1157
66	82	1144
67	82	1132
68	83	1120
69	83	1108
70	83	1096
71	84	1084
72	84	1072
73	84	1061
74	85	1050
75	85	1041
76	86	1030
77	86	1020
78	86	1010
79	87	1000
80	87	992
81	87	983
82	88	973
83	88	964
84	88	956
85	89	947
86	89	938
87	89	930
88	90	921
89	90	913
90	90	905
91	90	897
92	91	890
93	91	882
94	91	875
95	92	868
96	92	861
97	92	854
98	93	848
99	93	842
100	93	836
101	94	830
102	94	824
103	94	818
104	95	812
105	95	808
106	96	803
107	96	798
108	97	794
109	97	789
110	97	784
111	98	779
112	98	774
113	98	769
114	99	763
115	99	758
116	99	753
117	100	748
118	100	743
119	100	738
120	101	734
121	101	730
122	101	726
123	102	723
124	102	719
125	103	714
126	103	710
127	103	706
128	104	703
129	104	699
130	104	695
131	105	691
132	105	688
133	105	684
134	106	681
135	106	677
136	107	674
137	107	671
138	107	668
139	108	664
140	108	662
141	108	657
142	109	653
143	109	650
144	109	647
145	110	645
146	110	643
147	111	640
148	111	638
149	112	635
150	112	633
151	113	631
152	113	628
153	113	625
154	114	623
155	114	620
156	115	617
157	115	614
158	115	611
159	116	609
160	116	606
161	116	603
162	117	601
163	117	599
164	117	597
165	118	594
166	118	592
167	119	590
168	119	588
169	120	586
170	120	584
171	120	581
172	121	579
173	121	577
174	122	575
175	122	573
176	122	570
177	123	568
178	123	567
179	124	565
180	124	563
181	125	561
182	125	559
183	125	557
184	126	555
185	126	553
186	126	551
187	127	550
188	127	548
189	128	546
190	128	544
191	129	543
192	129	541
193	129	539
194	130	537
195	130	535
196	130	533
197	131	532
198	131	530
199	132	528
200	132	527
201	133	525
202	133	523
203	133	522
204	134	520
205	134	518
206	135	517
207	135	515
208	135	514
209	136	512
210	136	511
211	137	509
212	137	508
213	137	506
214	138	504
215	138	503
216	139	502
217	139	500
218	140	499
219	140	498
220	140	496
221	141	495
222	141	493
223	142	492
224	142	490
225	142	488
226	143	487
227	143	486
228	143	484
229	144	483
230	144	481
231	145	480
232	145	478
233	145	477
234	146	475
235	146	474
236	146	472
237	147	471
238	147	469
239	147	468
240	148	467
241	148	466
242	149	464
243	149	463
244	149	462
245	150	460
246	150	459
247	150	457
248	151	456
249	151	454
250	152	453
251	152	452
252	152	450
253	152	449
254	153	447
255	153	446
256	154	445
257	154	443
258	154	442
259	155	441
260	155	440
261	155	439
262	156	438
263	156	436
264	157	435
265	157	434
266	157	433
267	158	432
268	158	430
269	158	429
270	159	428
271	159	427
272	160	426
273	160	425
274	160	423
275	161	422
276	161	421
277	161	420
278	162	419
279	162	418
280	163	417
281	163	416
282	163	415
283	164	414
284	164	413
285	165	412
286	165	411
287	166	410
288	166	409
289	166	408
290	167	406
291	167	405
292	167	404
293	167	403
294	168	402
295	168	401
296	169	400
297	169	399
298	170	399
299	170	397
300	170	397
301	171	396
302	171	395
303	172	394
304	172	393
305	173	392
306	173	391
307	173	390
308	174	389
309	174	388
310	174	387
311	175	386
312	175	385
313	175	384
314	176	383
315	176	381
316	176	380
317	177	379
318	177	378
319	177	377
320	177	376
321	178	375
322	178	374
323	179	373
324	179	372
325	180	372
326	180	371
327	180	370
328	181	369
329	181	368
330	181	367
331	182	366
332	182	365
333	182	364
334	183	363
335	183	362
336	184	362
337	184	361
338	185	361
339	185	360
340	186	359
341	186	358
342	186	358
343	187	357
344	187	356
345	188	355
346	188	354
347	188	353
348	189	352
349	189	352
350	190	351
351	190	351
352	191	350
353	191	349
354	192	349
355	192	348
356	193	347
357	193	346
358	193	346
359	194	345
360	194	344
361	194	343
362	195	342
363	195	341
364	195	340
365	196	339
366	196	339
367	197	339
368	198	339
369	198	338
370	199	337
371	199	336
372	199	336
373	200	335
374	200	334
375	201	333
376	201	332
377	201	332
378	202	331
379	202	330
380	203	330
381	203	329
382	204	328
383	204	328
384	204	327
385	205	326
386	205	325
387	206	325
388	206	324
389	206	323
390	207	322
391	207	322
392	208	321
393	209	321
394	209	320
395	209	320
396	210	319
397	211	319
398	211	318
399	212	318
400	212	317
401	212	316
402	213	315
403	213	314
404	213	314
405	214	313
406	214	312
407	214	311
408	215	311
409	216	310
410	216	310
411	216	309
412	217	308
413	217	307
414	217	307
415	218	306
416	218	305
417	219	305
418	219	304
419	219	303
420	220	303
421	221	303
422	221	302
423	222	301
424	222	301
425	223	300
426	223	300
427	224	299
428	224	298
429	224	297
430	225	297
431	225	296
432	225	295
433	226	295
434	226	294
435	226	293
436	227	292
437	227	292
438	228	291
439	228	290
440	228	290
441	229	289
442	229	288
443	230	288
444	230	287
445	230	286
446	231	285
447	231	285
448	231	284
449	232	283
450	232	282
451	232	282
452	233	281
453	233	281
454	234	280
455	234	280
456	235	279
457	235	278
458	236	278
459	236	278
460	237	277
461	237	276
462	238	276
463	238	275
464	238	274
465	239	274
466	239	273
467	240	272
468	240	272
469	240	271
470	241	271
471	241	270
472	242	269
473	242	269
474	242	268
475	243	267
476	243	266
477	243	266
478	243	265
479	244	264
480	244	264
481	245	263
482	245	262
483	245	262
484	246	261
485	246	260
486	246	259
487	247	259
488	247	258
489	247	257
490	248	257
491	248	256
492	248	256
493	249	255
494	249	255
495	250	254
496	250	253
497	251	253
498	251	252
499	251	251
500	252	251
501	252	250
502	253	250
503	253	249
504	253	248
505	254	248
506	254	247
507	255	247
508	255	246
509	256	245
510	256	245
511	256	244
512	257	244
513	257	243
514	257	242
515	258	242
516	258	241
517	259	241
518	259	240
519	260	240
520	260	239
521	261	239
522	261	238
523	261	237
524	262	237
525	262	236
526	262	235
527	263	235
528	263	234
529	264	234
530	264	233
531	264	232
532	265	232
533	265	231
534	265	231
535	266	230
536	266	229
537	266	228
538	267	228
539	267	227
540	267	227
541	268	226
542	268	225
543	268	225
544	268	224
545	269	223
546	269	223
547	269	222
548	270	221
549	270	221
550	270	220
551	271	219
552	271	219
553	272	219
554	272	218
555	273	218
556	273	217
557	273	216
558	274	216
559	274	216
560	275	215
